palabra,emoji,categoria,España,México,Guatemala,El Salvador,Honduras,Nicaragua,Costa Rica,Panamá,Cuba,Rep. Dominicana,Puerto Rico,Colombia,Venezuela,Ecuador,Perú,Bolivia,Paraguay,Uruguay,Argentina,Chile,Guinea Ecuatorial
heladera,🧊,"Objetos del hogar, escuela y cotidianos",electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,electrodomestico para enfriar,refrigerador,refrigerador,refrigerador,electrodomestico para enfriar,electrodomestico para enfriar
frigorifico,🧊,"Objetos del hogar, escuela y cotidianos","nevera, refrigerador",refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador,refrigerador
estufa,🔥,"Objetos del hogar, escuela y cotidianos",calefactor para calentar el ambiente,cocina para cocinar,aparato para cocinar o calentar,aparato para cocinar o calentar,aparato para cocinar o calentar,aparato para cocinar o calentar,aparato para cocinar o calentar,aparato para cocinar o calentar,aparato para cocinar o calentar,aparato para cocinar o calentar,aparato para cocinar o calentar,cocina para cocinar,aparato para cocinar o calentar,aparato para cocinar o calentar,aparato para cocinar o calentar,aparato para cocinar o calentar,aparato para cocinar o calentar,aparato para cocinar o calentar,calefactor para calentar el ambiente,calefactor para calentar el ambiente,aparato para cocinar o calentar
cocina,🍳,"Objetos del hogar, escuela y cotidianos","estufa, hornilla",aparato para cocinar,aparato para cocinar,aparato para cocinar,aparato para cocinar,aparato para cocinar,aparato para cocinar,aparato para cocinar,aparato para cocinar,aparato para cocinar,aparato para cocinar,aparato para cocinar,aparato para cocinar,aparato para cocinar,"estufa, hornilla",aparato para cocinar,aparato para cocinar,aparato para cocinar,"estufa, hornilla","estufa, hornilla",aparato para cocinar
hornilla,🍳,"Objetos del hogar, escuela y cotidianos",quemador de la cocina,quemador de la cocina,quemador de la cocina,quemador de la cocina,quemador de la cocina,quemador de la cocina,quemador de la cocina,quemador de la cocina,quemador de la cocina,quemador de la cocina,quemador de la cocina,quemador de la cocina,cocina o quemador,quemador de la cocina,cocina o quemador,quemador de la cocina,quemador de la cocina,quemador de la cocina,quemador de la cocina,quemador de la cocina,quemador de la cocina
licuadora,🥤,"Objetos del hogar, escuela y cotidianos",electrodomestico para licuar,batidora de vaso,electrodomestico para licuar,electrodomestico para licuar,electrodomestico para licuar,electrodomestico para licuar,electrodomestico para licuar,electrodomestico para licuar,electrodomestico para licuar,electrodomestico para licuar,electrodomestico para licuar,batidora de vaso,electrodomestico para licuar,electrodomestico para licuar,batidora de vaso,electrodomestico para licuar,electrodomestico para licuar,electrodomestico para licuar,batidora de vaso,electrodomestico para licuar,electrodomestico para licuar
batidora,🥤,"Objetos del hogar, escuela y cotidianos",licuadora de vaso,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir,aparato para batir
plancha,🔌,"Objetos del hogar, escuela y cotidianos",aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa,aparato para planchar ropa
lavaplatos,🍽️,"Objetos del hogar, escuela y cotidianos",fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,detergente liquido para platos,detergente liquido para platos,fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,fregadero o lavavajillas,maquina lavavajillas,fregadero o lavavajillas
fregadero,🚰,"Objetos del hogar, escuela y cotidianos",lavaplatos de cocina,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos,pila para lavar platos
lavabo,🚰,"Objetos del hogar, escuela y cotidianos",lavamanos del bano,lavamanos del bano,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse,pila del bano para lavarse
lavamanos,🚰,"Objetos del hogar, escuela y cotidianos",pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,lavabo del bano,lavabo del bano,pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,pila para lavarse las manos,lavabo del bano,pila para lavarse las manos
pileta,🏊,"Objetos del hogar, escuela y cotidianos",recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,recipiente de agua o piscina,piscina,piscina,fregadero de cocina,recipiente de agua o piscina,recipiente de agua o piscina
tina,🛁,"Objetos del hogar, escuela y cotidianos",banera,banera para banarse,banera,banera,banera,banera,banera,banera,banera,banera,banera,banera,banera,banera,banera para banarse,banera,banera,banera,banera,banera para banarse,banera
banera,🛁,"Objetos del hogar, escuela y cotidianos",tina de bano,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,recipiente para banarse,tina de bano,recipiente para banarse,recipiente para banarse
inodoro,🚽,"Objetos del hogar, escuela y cotidianos",taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano,taza del bano
retrete,🚽,"Objetos del hogar, escuela y cotidianos","water, inodoro",inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro
poceta,🚽,"Objetos del hogar, escuela y cotidianos",inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,"inodoro, taza del bano",inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro
escusado,🚽,"Objetos del hogar, escuela y cotidianos",inodoro,"inodoro, bano",inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro,inodoro
ducha,🚿,"Objetos del hogar, escuela y cotidianos",regadera del bano,regadera para banarse,regadera para banarse,regadera para banarse,regadera para banarse,regadera para banarse,regadera para banarse,regadera para banarse,regadera para banarse,regadera para banarse,regadera para banarse,regadera del bano,regadera para banarse,regadera para banarse,regadera para banarse,regadera para banarse,regadera para banarse,regadera para banarse,regadera del bano,regadera para banarse,regadera para banarse
regadera,🚿,"Objetos del hogar, escuela y cotidianos",recipiente para regar plantas,ducha del bano,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas,recipiente para regar plantas
grifo,🚰,"Objetos del hogar, escuela y cotidianos",llave de agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave de agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua
canilla,🚰,"Objetos del hogar, escuela y cotidianos",llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,llave del agua,"grifo, llave de agua","grifo, llave de agua","grifo, llave de agua",llave del agua,llave del agua
caneria,🚰,"Objetos del hogar, escuela y cotidianos",tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia del agua,tuberia,tuberia,tuberia,tuberia del agua
frazada,🛏️,"Objetos del hogar, escuela y cotidianos",manta para la cama,manta para la cama,manta para la cama,manta para la cama,manta para la cama,manta para la cama,manta para la cama,manta para la cama,manta para la cama,manta para la cama,manta para la cama,manta para la cama,manta para la cama,manta para la cama,"manta, cobija","manta, cobija",manta para la cama,"manta, cobija","manta, cobija","manta, cobija",manta para la cama
cobija,🛏️,"Objetos del hogar, escuela y cotidianos",manta para abrigarse,manta de cama,manta para abrigarse,manta para abrigarse,manta para abrigarse,manta para abrigarse,manta para abrigarse,manta para abrigarse,manta para abrigarse,manta para abrigarse,manta para abrigarse,manta de cama,manta de cama,manta para abrigarse,manta para abrigarse,manta para abrigarse,manta para abrigarse,manta para abrigarse,manta para abrigarse,manta para abrigarse,manta para abrigarse
cobertor,🛏️,"Objetos del hogar, escuela y cotidianos",manta o cubrecama,manta o cubrecama,manta o cubrecama,manta o cubrecama,manta o cubrecama,manta o cubrecama,manta o cubrecama,manta o cubrecama,manta o cubrecama,manta o cubrecama,manta o cubrecama,manta o cubrecama,manta o cubrecama,manta o cubrecama,frazada gruesa,manta o cubrecama,manta o cubrecama,manta o cubrecama,manta o cubrecama,frazada gruesa,manta o cubrecama
colcha,🛏️,"Objetos del hogar, escuela y cotidianos",cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa,cubrecama decorativa
acolchado,🛏️,"Objetos del hogar, escuela y cotidianos",edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon relleno,edredon,edredon,edredon relleno,edredon relleno
plumon,🖊️,"Objetos del hogar, escuela y cotidianos",edredon o rotulador,"marcador, rotulador",edredon o rotulador,edredon o rotulador,edredon o rotulador,edredon o rotulador,edredon o rotulador,edredon o rotulador,edredon o rotulador,edredon o rotulador,edredon o rotulador,edredon o rotulador,edredon o rotulador,edredon o rotulador,"marcador, rotulador",edredon o rotulador,edredon o rotulador,edredon o rotulador,edredon o rotulador,edredon relleno,edredon o rotulador
almohada,🛏️,"Objetos del hogar, escuela y cotidianos",cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza,cojin para la cabeza
cojin,🛋️,"Objetos del hogar, escuela y cotidianos",almohadon de sofa,almohadon de sofa,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon de sofa,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon decorativo,almohadon decorativo
combi,🚐,"Transporte, calle y ciudad",van/minibús de transporte público de ruta,microbús tipo van muy usado,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,microbús tipo van muy usado,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta,van/minibús de transporte público de ruta
pesero,🚐,"Transporte, calle y ciudad",microbús de transporte público (de tarifa por persona),microbús urbano,microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona),microbús de transporte público (de tarifa por persona)
ruta,🚐,"Transporte, calle y ciudad",línea de transporte público,línea de transporte público,línea de transporte público,microbús de transporte público,microbús de transporte público,microbús de transporte público,línea de transporte público,línea de transporte público,línea de transporte público,línea de transporte público,línea de transporte público,línea de transporte público,línea de transporte público,línea de transporte público,línea de transporte público,línea de transporte público,línea de transporte público,línea de transporte público,línea de transporte público,línea de transporte público,línea de transporte público
camioneta,🚙,"Transporte, calle y ciudad",vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,autobús/microbús de transporte público,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,furgoneta de carga,furgoneta de carga,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup,vehículo tipo SUV o pickup
chicken bus,🚌🐔,"Transporte, calle y ciudad",autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,bus colorido de ruta para turistas/locales,autobús viejo escolar reciclado para transporte,bus colorido de ruta para turistas/locales,bus colorido de ruta para turistas/locales,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte,autobús viejo escolar reciclado para transporte
bondi,🚌,"Transporte, calle y ciudad",autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,autobús,colectivo/autobús urbano,colectivo/autobús urbano,autobús,autobús
bus,🚌,"Transporte, calle y ciudad",autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público,autobús de transporte público
ómnibus,🚌,"Transporte, calle y ciudad",autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano,autobús urbano,autobús urbano,autobús de larga distancia o urbano,autobús de larga distancia o urbano
flota,🚌,"Transporte, calle y ciudad",conjunto de vehículos,conjunto de vehículos,conjunto de vehículos,conjunto de vehículos,conjunto de vehículos,conjunto de vehículos,conjunto de vehículos,conjunto de vehículos,conjunto de vehículos,conjunto de vehículos,conjunto de vehículos,autobús interdepartamental de larga distancia,conjunto de vehículos,conjunto de vehículos,conjunto de vehículos,autobús interdepartamental de larga distancia,conjunto de vehículos,conjunto de vehículos,conjunto de vehículos,conjunto de vehículos,conjunto de vehículos
góndola,🚌,"Transporte, calle y ciudad",vehículo de transporte,camión grande de carga,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,vehículo de transporte,autobús urbano (antiguo),vehículo de transporte
liebre,🚐,"Transporte, calle y ciudad",animal,animal,animal,animal,animal,animal,animal,animal,animal,animal,animal,animal,animal,animal,animal,animal,animal,animal,animal,microbús pequeño de transporte público,animal
diablo rojo,🚌🔥,"Transporte, calle y ciudad",autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús urbano colorido (antiguo sistema),autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado,autobús viejo pintado
metrobús,🚌,"Transporte, calle y ciudad",sistema de autobús de carril exclusivo,BRT de autobús articulado,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo,BRT de autobús articulado,sistema de autobús de carril exclusivo,sistema de autobús de carril exclusivo
transmi,🚌,"Transporte, calle y ciudad",sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,"TransMilenio, el BRT de la ciudad",sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido,sistema de bus rápido
trole,🚎,"Transporte, calle y ciudad",trolebús,trolebús,trolebús,trolebús,trolebús,trolebús,trolebús,trolebús,trolebús,trolebús,trolebús,trolebús,trolebús,trolebús eléctrico urbano,trolebús,trolebús,trolebús,trolebús,trolebús eléctrico urbano,trolebús eléctrico urbano,trolebús
sube,💳🚌,"Transporte, calle y ciudad",tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta de pago de transporte,tarjeta SUBE del transporte,tarjeta de pago de transporte,tarjeta de pago de transporte
bip,💳,"Transporte, calle y ciudad",tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta de transporte,tarjeta Bip! del Transantiago,tarjeta de transporte
subte,🚇,"Transporte, calle y ciudad",metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro subterráneo,metro de la ciudad,metro subterráneo,metro subterráneo
metro,🚇,"Transporte, calle y ciudad",tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano,tren subterráneo urbano
tren,🚆,"Transporte, calle y ciudad",ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril,ferrocarril
tranvía,🚊,"Transporte, calle y ciudad",tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle,tren ligero de calle
funicular,🚞,"Transporte, calle y ciudad",transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente,transporte por cable en pendiente
teleférico,🚠,"Transporte, calle y ciudad",transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,sistema de transporte masivo Mi Teleférico,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos,transporte por cables aéreos
mototaxi,🛺,"Transporte, calle y ciudad",moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,taxi en moto/triciclo motorizado,taxi en moto/triciclo motorizado,moto de tres ruedas para pasajeros,taxi en moto/triciclo motorizado,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros,moto de tres ruedas para pasajeros
tuktuk,🛺,"Transporte, calle y ciudad",triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,mototaxi de tres ruedas,mototaxi de tres ruedas,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros,triciclo motorizado de pasajeros
bicitaxi,🚲,"Transporte, calle y ciudad",triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros,triciclo a pedal para pasajeros
rapidito,🚐,"Transporte, calle y ciudad",microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús de transporte urbano,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta,microbús rápido de ruta
